mcp_match_id;mcp_date;mcp_tournament;mcp_round;mcp_surface;mcp_best_of;mcp_players;status;method;candidate_count;candidate_context_ids;context_match_id;context_tournament_date;context_tournament;context_round;context_surface;context_best_of;context_players;context_source_file;date_offset_days;surface_agrees;round_agrees;tournament_agrees;best_of_agrees;review_status;review_notes
20220109-M-Melbourne-F-Maxime_Cressy-Rafael_Nadal;09/01/2022;Melbourne;F;Hard;3;Maxime Cressy | Rafael Nadal;matched;exact_pair_date_unique;1;sackmann:atp:tour:2022-9665:300;sackmann:atp:tour:2022-9665:300;03/01/2022;Melbourne;F;Hard;3;Rafael Nadal | Maxime Cressy;atp/atp_matches_2022.csv;6;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20130407-W-Charleston-F-Serena_Williams-Jelena_Jankovic;07/04/2013;Charleston;F;Clay;3;Serena Williams | Jelena Jankovic;matched;exact_pair_date_unique;1;sackmann:wta:tour:2013-W-PR-USA-01A-2013:55;sackmann:wta:tour:2013-W-PR-USA-01A-2013:55;01/04/2013;Charleston;F;Clay;3;Serena Williams | Jelena Jankovic;wta/wta_matches_2013.csv;6;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20230811-M-Canada_Masters-QF-Jannik_Sinner-Gael_Monfils;11/08/2023;Canada Masters;QF;Hard;3;Jannik Sinner | Gael Monfils;matched;exact_pair_date_unique;1;sackmann:atp:tour:2023-0421:296;sackmann:atp:tour:2023-0421:296;07/08/2023;Canada Masters;QF;Hard;3;Jannik Sinner | Gael Monfils;atp/atp_matches_2023.csv;4;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20191007-M-Santo_Domingo_CH-R64-Marcelo_Arevalo-Victor_Estrella;07/10/2019;Santo Domingo CH;R64;Clay;3;Marcelo Arevalo | Victor Estrella;matched;exact_pair_date_unique;1;sackmann:atp:qual_chall:2019-7201:260;sackmann:atp:qual_chall:2019-7201:260;07/10/2019;Santo Domingo CH;R64;Clay;3;Victor Estrella | Marcelo Arevalo;atp/atp_matches_qual_chall_2019.csv;0;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20240612-M-Stuttgart-R16-Alexander_Bublik-Hamad_Medjedovic;12/06/2024;Stuttgart;R16;Grass;3;Alexander Bublik | Hamad Medjedovic;matched;exact_pair_date_unique;1;sackmann:atp:tour:2024-0321:288;sackmann:atp:tour:2024-0321:288;10/06/2024;Stuttgart;R16;Grass;3;Alexander Bublik | Hamad Medjedovic;atp/atp_matches_2024.csv;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
19791005-M-Davis_Cup_SF-RR-Ivan_Lendl-Adriano_Panatta;05/10/1979;Davis Cup SF;RR;Clay;5;Ivan Lendl | Adriano Panatta;ambiguous;;2;sackmann:atp:tour:1979-425:52 | sackmann:atp:tour:1979-D037:2;;;;;;;;;;;;;;;
20030904-W-Filderstadt-F-Kim_Clijsters-Justine_Henin;04/09/2003;Filderstadt;F;Hard;3;Kim Clijsters | Justine Henin;canonical_collision;exact_pair_date_unique;1;sackmann:wta:tour:2003-W-SL-USA-01A-2003:127;sackmann:wta:tour:2003-W-SL-USA-01A-2003:127;25/08/2003;US Open;F;Hard;3;Justine Henin | Kim Clijsters;wta/wta_matches_2003.csv;10;VERDADEIRO;VERDADEIRO;FALSO;VERDADEIRO;rejected;Same players, same year, same round, same surface but differente tournament
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec;19/12/1975;Davis Cup World Group F;RR;Hard;3;Bjorn Borg | Jiri Hrebec;conflicting_context;exact_pair_date_unique;1;sackmann:atp:tour:1975-D056:1;sackmann:atp:tour:1975-D056:1;19/12/1975;Davis Cup WG F: SWE vs TCH;RR;Carpet;5;Bjorn Borg | Jiri Hrebec;atp/atp_matches_1975.csv;0;FALSO;VERDADEIRO;FALSO;FALSO;confirmed;Correct but wrong torunament name and surface mixed hard with carpet
19790928-W-US_Open-F-Tracy_Austin-Chris_Evert;28/09/1979;US Open;F;Hard;3;Tracy Austin | Chris Evert;unresolved_date_window;;0;sackmann:wta:tour:1977-W-SL-GBR-01A-1977:65 | sackmann:wta:tour:1978-W-SL-USA-01A-1978:92 | sackmann:wta:tour:1978-W-WT-USA-14A-1978:30 | sackmann:wta:tour:1979-1017:2 | sackmann:wta:tour:1979-W-SL-USA-01A-1979:95 | sackmann:wta:tour:1979-W-WT-FRG-02A-1979:30 | sackmann:wta:tour:1979-W-WT-ITA-01A-1979:29 | sackmann:wta:tour:1979-W-WT-USA-12A-1979:6 | sackmann:wta:tour:1979-W-WT-USA-17A-1979:31 | sackmann:wta:tour:1980-W-SL-USA-01A-1980:95 | sackmann:wta:tour:1980-W-WT-USA-01A-1980:14 | sackmann:wta:tour:1980-W-WT-USA-01A-1980:5 | sackmann:wta:tour:1980-W-WT-USA-02A-1980:31 | sackmann:wta:tour:1981-W-WT-CAN-01A-1981:55 | sackmann:wta:tour:1981-W-WT-USA-24A-1981:12 | sackmann:wta:tour:1981-W-WT-USA-24A-1981:6 | sackmann:wta:tour:1982-W-WT-USA-28A-1982:10;;;;;;;;;;;;;;;
19600529-M-Roland_Garros-F-Nicola_Pietrangeli-Luis_Ayala;29/05/1960;Roland Garros;F;Clay;5;Nicola Pietrangeli | Luis Ayala;unresolved_pair;;0;;;;;;;;;;;;;;;;
19820113-M-Tour_Finals-F-Vitas_Gerulaitis-Ivan_Lendl;13/01/1982;Tour Finals;F;Hard;5;Vitas Gerulaitis | Ivan Lendl;ambiguous;;2;sackmann:atp:tour:1981-605:2 | sackmann:atp:tour:1981-605:5;;;;;;;;;;;;;;;
20030906-W-US_Open-F-Kim_Clijsters-Justine_Henin;06/09/2003;US Open;F;Hard;3;Kim Clijsters | Justine Henin;canonical_collision;exact_pair_date_unique;1;sackmann:wta:tour:2003-W-SL-USA-01A-2003:127;sackmann:wta:tour:2003-W-SL-USA-01A-2003:127;25/08/2003;US Open;F;Hard;3;Justine Henin | Kim Clijsters;wta/wta_matches_2003.csv;12;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
19780108-M-Tour_Finals-F-Bjorn_Borg-Jimmy_Connors;08/01/1978;Tour Finals;F;Hard;3;Bjorn Borg | Jimmy Connors;conflicting_context;exact_pair_date_unique;1;sackmann:atp:tour:1977-605:7;sackmann:atp:tour:1977-605:7;04/01/1978;Masters;F;Carpet;3;Jimmy Connors | Bjorn Borg;atp/atp_matches_1977.csv;4;FALSO;VERDADEIRO;FALSO;VERDADEIRO;confirmed;"Same match; MCP says Hard and context says Carpet."
